POS,frequency of heterozygosity,total reads,coverage,,
83419,129,715,0.18041958,,
91325,129,794,0.162468514,,
108611,129,824,0.156553398,,
112560,129,740,0.174324324,,
129117,129,829,0.155609168,,
138534,129,775,0.166451613,,
193583,129,845,0.152662722,,
233134,129,657,0.196347032,,
240647,129,761,0.169513798,,
250548,129,741,0.174089069,,
266053,129,677,0.190546529,,
281966,129,847,0.152302243,,
331872,129,746,0.172922252,,
358884,129,783,0.164750958,,
373089,129,678,0.190265487,,
403476,129,798,0.161654135,,
416856,129,717,0.179916318,,
437673,129,879,0.146757679,,
505599,129,802,0.16084788,,
526669,129,764,0.168848168,,
526699,129,751,0.171770972,,
553450,129,824,0.156553398,,
555482,129,793,0.162673392,,
559132,129,683,0.188872621,,
656658,129,780,0.165384615,,
667780,129,632,0.204113924,,
679282,129,777,0.166023166,,
786657,129,776,0.166237113,,
788592,129,790,0.163291139,,
839693,129,862,0.149651972,,
867677,129,822,0.156934307,,
942143,129,777,0.166023166,,
942812,129,753,0.171314741,,
948349,129,802,0.16084788,,
965951,129,735,0.175510204,,
970244,129,667,0.193403298,,
981075,129,959,0.13451512,,
996015,129,627,0.205741627,,
1007012,129,763,0.169069463,,
1079630,129,746,0.172922252,,
1146477,129,778,0.165809769,,
1152478,129,807,0.159851301,,
1269708,129,638,0.202194357,,
1303036,129,799,0.161451815,,
1324886,129,750,0.172,,
1326881,129,699,0.184549356,,
1406418,129,813,0.158671587,,
1421744,129,768,0.16796875,,
1425132,129,825,0.156363636,,
1442606,129,701,0.184022825,,
1464362,129,964,0.133817427,,
1492815,129,775,0.166451613,,
1493045,129,687,0.187772926,,
1493055,129,668,0.193113772,,
1515965,129,917,0.140676118,,
1521296,129,800,0.16125,,
1522430,129,751,0.171770972,,
27090,130,800,0.1625,,
53077,130,876,0.148401826,,
59510,130,732,0.177595628,,
68082,130,774,0.167958656,,
71645,130,819,0.158730159,,
76974,130,736,0.176630435,,
78945,130,862,0.150812065,,
83420,130,686,0.189504373,,
85492,130,855,0.152046784,,
88325,130,757,0.171730515,,
91318,130,778,0.167095116,,
101433,130,704,0.184659091,,
118956,130,797,0.163111669,,
269602,130,697,0.18651363,,
276375,130,693,0.187590188,,
278671,130,841,0.154577883,,
293617,130,767,0.169491525,,
309716,130,771,0.168612192,,
338752,130,832,0.15625,,
353682,130,701,0.185449358,,
375769,130,765,0.169934641,,
375932,130,728,0.178571429,,
382830,130,945,0.137566138,,
402402,130,759,0.171277997,,
415353,130,786,0.165394402,,
446954,130,738,0.176151762,,
449988,130,917,0.14176663,,
452236,130,829,0.15681544,,
498490,130,715,0.181818182,,
508671,130,844,0.154028436,,
526215,130,831,0.156438026,,
526734,130,833,0.156062425,,
551843,130,592,0.219594595,,
566726,130,746,0.174262735,,
670324,130,798,0.162907268,,
678436,130,669,0.19431988,,
846915,130,848,0.153301887,,
966614,130,776,0.167525773,,
993715,130,766,0.169712794,,
999384,130,736,0.176630435,,
1015572,130,688,0.188953488,,
1054717,130,732,0.177595628,,
1277282,130,675,0.192592593,,
1284927,130,869,0.149597238,,
1297076,130,736,0.176630435,,
1320001,130,822,0.158150852,,
1407369,130,857,0.151691949,,
1448726,130,877,0.148232611,,
1460721,130,754,0.172413793,,
1467833,130,806,0.161290323,,
1468817,130,730,0.178082192,,
1474141,130,917,0.14176663,,
1491574,130,823,0.157958688,,
1495550,130,745,0.174496644,,
1520281,130,827,0.15719468,,
1522982,130,858,0.151515152,,
27072,131,798,0.164160401,,
97521,131,825,0.158787879,,
101705,131,937,0.139807898,,
102763,131,811,0.161528977,,
116332,131,733,0.178717599,,
136987,131,882,0.148526077,,
150223,131,739,0.177266576,,
153712,131,877,0.149372862,,
173416,131,949,0.138040042,,
215266,131,641,0.204368175,,
221504,131,1008,0.129960317,,
225248,131,720,0.181944444,,
259996,131,695,0.188489209,,
260036,131,812,0.161330049,,
310329,131,753,0.173970784,,
331911,131,787,0.166454892,,
391190,131,808,0.162128713,,
415728,131,732,0.178961749,,
435200,131,1018,0.128683694,,
526357,131,847,0.154663518,,
526675,131,719,0.182197497,,
526687,131,744,0.176075269,,
526978,131,746,0.175603217,,
579755,131,817,0.160342717,,
611056,131,718,0.182451253,,
629725,131,752,0.174202128,,
671379,131,849,0.154299176,,
687279,131,726,0.180440771,,
689740,131,830,0.157831325,,
698508,131,803,0.163138232,,
703521,131,887,0.147688839,,
717840,131,710,0.184507042,,
720763,131,801,0.163545568,,
735615,131,798,0.164160401,,
742907,131,675,0.194074074,,
785443,131,820,0.159756098,,
812580,131,684,0.191520468,,
836867,131,728,0.179945055,,
846477,131,761,0.172141919,,
860764,131,776,0.168814433,,
914065,131,871,0.150401837,,
956402,131,810,0.161728395,,
980364,131,786,0.166666667,,
1150196,131,751,0.174434088,,
1151759,131,887,0.147688839,,
1306661,131,833,0.157262905,,
1339103,131,701,0.186875892,,
1445249,131,747,0.175368139,,
1455570,131,734,0.178474114,,
1456074,131,809,0.161928307,,
1458625,131,837,0.15651135,,
1465800,131,842,0.155581948,,
1466344,131,915,0.143169399,,
1491519,131,774,0.169250646,,
1512982,131,683,0.191800878,,
1519398,131,907,0.144432194,,
1520273,131,806,0.162531017,,
1522973,131,797,0.164366374,,
22006,132,943,0.139978791,,
28308,132,788,0.16751269,,
49598,132,859,0.153667055,,
57805,132,756,0.174603175,,
59321,132,866,0.152424942,,
79801,132,824,0.160194175,,
82818,132,728,0.181318681,,
114755,132,745,0.177181208,,
136202,132,762,0.173228346,,
155447,132,728,0.181318681,,
189502,132,762,0.173228346,,
199316,132,729,0.181069959,,
251082,132,710,0.185915493,,
283730,132,814,0.162162162,,
288140,132,932,0.141630901,,
327540,132,835,0.158083832,,
391561,132,735,0.179591837,,
392287,132,709,0.186177715,,
509963,132,698,0.189111748,,
526186,132,762,0.173228346,,
573174,132,799,0.165206508,,
578451,132,823,0.160388821,,
579951,132,797,0.165621079,,
586820,132,813,0.162361624,,
656959,132,727,0.181568088,,
660107,132,814,0.162162162,,
660131,132,753,0.175298805,,
689810,132,812,0.162561576,,
701736,132,886,0.148984199,,
706032,132,794,0.166246851,,
710853,132,828,0.15942029,,
787632,132,749,0.17623498,,
821641,132,785,0.168152866,,
981074,132,972,0.135802469,,
996022,132,668,0.19760479,,
1148912,132,788,0.16751269,,
1185811,132,817,0.161566707,,
1220150,132,891,0.148148148,,
1239354,132,822,0.160583942,,
1246233,132,908,0.145374449,,
1248160,132,856,0.154205607,,
1254809,132,798,0.165413534,,
1285035,132,970,0.136082474,,
1285139,132,781,0.169014085,,
1297645,132,844,0.156398104,,
1333898,132,671,0.196721311,,
1346435,132,913,0.144578313,,
1446482,132,735,0.179591837,,
1493975,132,833,0.158463385,,
1498015,132,620,0.212903226,,
1503301,132,779,0.16944801,,
1514528,132,804,0.164179104,,
1517756,132,995,0.132663317,,
18141,133,1009,0.131813677,,
37785,133,755,0.17615894,,
64935,133,956,0.139121339,,
65094,133,897,0.148272018,,
70900,133,908,0.146475771,,
78181,133,857,0.155192532,,
83424,133,731,0.181942544,,
84569,133,739,0.179972936,,
99929,133,865,0.153757225,,
101707,133,975,0.136410256,,
105019,133,692,0.192196532,,
123193,133,834,0.159472422,,
226209,133,790,0.16835443,,
229260,133,755,0.17615894,,
273848,133,858,0.155011655,,
289404,133,905,0.146961326,,
295469,133,760,0.175,,
302423,133,579,0.22970639,,
372053,133,884,0.150452489,,
391193,133,830,0.160240964,,
449709,133,822,0.161800487,,
451263,133,771,0.172503243,,
505555,133,813,0.163591636,,
526727,133,772,0.172279793,,
526747,133,909,0.146314631,,
553105,133,732,0.181693989,,
574989,133,811,0.163995068,,
634044,133,884,0.150452489,,
637663,133,787,0.168996188,,
660498,133,734,0.18119891,,
670000,133,903,0.147286822,,
688841,133,900,0.147777778,,
707900,133,757,0.175693527,,
745998,133,777,0.171171171,,
785156,133,813,0.163591636,,
785712,133,835,0.159281437,,
787605,133,781,0.170294494,,
833693,133,829,0.160434258,,
836028,133,762,0.174540682,,
838114,133,796,0.167085427,,
970880,133,861,0.154471545,,
995898,133,667,0.1994003,,
997571,133,772,0.172279793,,
1057627,133,888,0.149774775,,
1150413,133,794,0.167506297,,
1220120,133,841,0.158145065,,
1249116,133,979,0.135852911,,
1257442,133,928,0.143318966,,
1283387,133,819,0.162393162,,
1283592,133,698,0.190544413,,
1310395,133,750,0.177333333,,
1326851,133,743,0.179004038,,
1333408,133,694,0.191642651,,
1335398,133,718,0.185236769,,
1338262,133,801,0.166042447,,
1373275,133,788,0.168781726,,
1427166,133,801,0.166042447,,
1441950,133,743,0.179004038,,
1493474,133,764,0.17408377,,
1495814,133,703,0.189189189,,
1522984,133,843,0.15776987,,
32217,134,754,0.177718833,,
36103,134,806,0.166253102,,
38419,134,833,0.160864346,,
40286,134,828,0.161835749,,
56155,134,821,0.163215591,,
67895,134,863,0.155272306,,
69621,134,863,0.155272306,,
73760,134,784,0.170918367,,
80374,134,836,0.160287081,,
109355,134,844,0.158767773,,
128861,134,869,0.15420023,,
144208,134,914,0.146608315,,
172966,134,875,0.153142857,,
193107,134,710,0.188732394,,
235466,134,794,0.168765743,,
249264,134,723,0.185338866,,
278164,134,891,0.150392817,,
387828,134,845,0.158579882,,
400491,134,796,0.168341709,,
415755,134,784,0.170918367,,
428851,134,829,0.161640531,,
435202,134,984,0.136178862,,
449722,134,730,0.183561644,,
498016,134,779,0.172015404,,
500512,134,817,0.164014688,,
525412,134,833,0.160864346,,
546324,134,808,0.165841584,,
561926,134,770,0.174025974,,
608586,134,693,0.193362193,,
629487,134,948,0.141350211,,
655493,134,774,0.173126615,,
663117,134,941,0.1424017,,
687255,134,827,0.162031439,,
699153,134,847,0.158205431,,
712698,134,755,0.177483444,,
715715,134,870,0.154022989,,
822347,134,824,0.162621359,,
827581,134,1040,0.128846154,,
848940,134,872,0.153669725,,
939107,134,837,0.160095579,,
949454,134,719,0.186369958,,
1071150,134,756,0.177248677,,
1216230,134,776,0.172680412,,
1217182,134,773,0.173350582,,
1248206,134,910,0.147252747,,
1249222,134,864,0.155092593,,
1254757,134,878,0.15261959,,
1254831,134,797,0.168130489,,
1257439,134,933,0.143622722,,
1264892,134,900,0.148888889,,
1312058,134,815,0.164417178,,
1318539,134,793,0.168978562,,
1318750,134,740,0.181081081,,
1328369,134,742,0.180592992,,
1342654,134,787,0.170266836,,
1346618,134,1020,0.131372549,,
1399661,134,761,0.1760841,,
1421386,134,763,0.175622543,,
1421768,134,848,0.158018868,,
1432429,134,851,0.15746181,,
1458101,134,656,0.204268293,,
1484977,134,991,0.135216953,,
1491138,134,862,0.155452436,,
1515956,134,910,0.147252747,,
1520285,134,906,0.14790287,,
40469,135,701,0.192582026,,
58524,135,741,0.182186235,,
89384,135,912,0.148026316,,
118971,135,819,0.164835165,,
210594,135,856,0.15771028,,
228430,135,832,0.162259615,,
252376,135,784,0.172193878,,
264134,135,816,0.165441176,,
275448,135,881,0.15323496,,
339743,135,776,0.173969072,,
380668,135,718,0.188022284,,
403449,135,839,0.16090584,,
414523,135,706,0.19121813,,
437695,135,905,0.149171271,,
509407,135,759,0.177865613,,
526219,135,828,0.163043478,,
526222,135,841,0.160523187,,
540228,135,815,0.165644172,,
553804,135,922,0.146420824,,
580972,135,827,0.163240629,,
583094,135,861,0.156794425,,
615816,135,770,0.175324675,,
643177,135,751,0.17976032,,
682303,135,853,0.158264947,,
685509,135,945,0.142857143,,
686865,135,891,0.151515152,,
757424,135,637,0.211930926,,
796104,135,750,0.18,,
830274,135,747,0.180722892,,
839060,135,728,0.18543956,,
868576,135,978,0.13803681,,
969384,135,894,0.151006711,,
970665,135,842,0.160332542,,
981071,135,1021,0.13222331,,
996740,135,787,0.171537484,,
1054023,135,747,0.180722892,,
1153009,135,894,0.151006711,,
1183454,135,778,0.173521851,,
1216449,135,885,0.152542373,,
1254714,135,882,0.153061224,,
1273219,135,819,0.164835165,,
1279180,135,795,0.169811321,,
1279181,135,784,0.172193878,,
1299214,135,884,0.152714932,,
1326959,135,811,0.166461159,,
1406105,135,1018,0.132612967,,
1407605,135,767,0.17601043,,
1434754,135,688,0.19622093,,
1443509,135,739,0.182679296,,
1455133,135,881,0.15323496,,
1464464,135,1037,0.130183221,,
1469501,135,760,0.177631579,,
1513356,135,763,0.176933159,,
18120,136,999,0.136136136,,
40598,136,812,0.167487685,,
40775,136,869,0.156501726,,
40838,136,855,0.159064327,,
57334,136,763,0.178243775,,
59555,136,857,0.158693116,,
69675,136,886,0.153498871,,
85442,136,827,0.164449819,,
98345,136,948,0.143459916,,
101608,136,1071,0.126984127,,
102952,136,834,0.163069544,,
115605,136,837,0.162485066,,
128775,136,757,0.179656539,,
129270,136,931,0.146079484,,
136940,136,896,0.151785714,,
142762,136,940,0.144680851,,
156943,136,799,0.170212766,,
185449,136,902,0.150776053,,
193214,136,898,0.151447661,,
198878,136,724,0.187845304,,
211536,136,745,0.182550336,,
215138,136,756,0.17989418,,
229042,136,852,0.159624413,,
249679,136,740,0.183783784,,
257704,136,848,0.160377358,,
261620,136,817,0.166462668,,
266302,136,891,0.152637486,,
270349,136,767,0.177314211,,
299385,136,867,0.156862745,,
331885,136,841,0.161712247,,
366283,136,786,0.17302799,,
414564,136,703,0.193456615,,
420417,136,774,0.175710594,,
422745,136,860,0.158139535,,
422794,136,938,0.144989339,,
433591,136,830,0.163855422,,
441971,136,633,0.214849921,,
511129,136,919,0.147986942,,
526183,136,802,0.16957606,,
553651,136,770,0.176623377,,
553670,136,855,0.159064327,,
573177,136,820,0.165853659,,
588509,136,908,0.149779736,,
625173,136,879,0.154721274,,
679489,136,735,0.185034014,,
709040,136,843,0.161328588,,
714798,136,896,0.151785714,,
739056,136,784,0.173469388,,
748542,136,757,0.179656539,,
778868,136,868,0.156682028,,
836844,136,694,0.195965418,,
843866,136,805,0.168944099,,
867712,136,725,0.187586207,,
966626,136,816,0.166666667,,
994124,136,885,0.153672316,,
998004,136,775,0.175483871,,
1058179,136,705,0.192907801,,
1143728,136,842,0.16152019,,
1187416,136,730,0.18630137,,
1247703,136,777,0.175032175,,
1277231,136,688,0.197674419,,
1298210,136,1038,0.131021195,,
1304961,136,836,0.162679426,,
1306195,136,800,0.17,,
1339402,136,1020,0.133333333,,
1342632,136,777,0.175032175,,
1430342,136,742,0.18328841,,
1444256,136,798,0.170426065,,
1460932,136,812,0.167487685,,
1467803,136,919,0.147986942,,
1500134,136,962,0.141372141,,
1511255,136,786,0.17302799,,
1520501,136,757,0.179656539,,
1521369,136,807,0.168525403,,
1522245,136,770,0.176623377,,
1522423,136,853,0.15943728,,
20989,137,829,0.165259349,,
24478,137,774,0.177002584,,
48267,137,788,0.173857868,,
84722,137,944,0.145127119,,
84947,137,826,0.165859564,,
97828,137,742,0.184636119,,
101871,137,914,0.149890591,,
115568,137,848,0.161556604,,
126981,137,690,0.198550725,,
140835,137,875,0.156571429,,
157038,137,965,0.141968912,,
175676,137,968,0.141528926,,
185188,137,848,0.161556604,,
253832,137,986,0.138945233,,
256213,137,790,0.173417722,,
291765,137,831,0.164861613,,
344713,137,791,0.173198483,,
450232,137,773,0.177231565,,
580006,137,877,0.156214367,,
629532,137,901,0.152053274,,
660025,137,927,0.147788565,,
680091,137,712,0.19241573,,
685091,137,744,0.184139785,,
709887,137,740,0.185135135,,
750110,137,724,0.189226519,,
766577,137,823,0.166464156,,
793254,137,882,0.155328798,,
822200,137,982,0.139511202,,
868578,137,988,0.138663968,,
948494,137,964,0.142116183,,
975090,137,926,0.147948164,,
981066,137,1042,0.131477927,,
994230,137,1033,0.132623427,,
1052765,137,729,0.187928669,,
1190196,137,834,0.164268585,,
1240227,137,882,0.155328798,,
1254611,137,862,0.158932715,,
1257556,137,773,0.177231565,,
1264454,137,773,0.177231565,,
1271410,137,724,0.189226519,,
1291869,137,710,0.192957746,,
1341749,137,870,0.157471264,,
1372366,137,910,0.150549451,,
1403723,137,862,0.158932715,,
1407015,137,956,0.143305439,,
1408802,137,895,0.153072626,,
1417646,137,722,0.189750693,,
1421621,137,774,0.177002584,,
1448696,137,824,0.166262136,,
1460431,137,799,0.17146433,,
1460907,137,779,0.175866496,,
1468785,137,731,0.187414501,,
1501236,137,751,0.182423435,,
1522415,137,852,0.160798122,,
32904,138,786,0.175572519,,
49584,138,889,0.155230596,,
58573,138,783,0.176245211,,
79782,138,836,0.16507177,,
97927,138,810,0.17037037,,
113442,138,733,0.188267394,,
150634,138,764,0.180628272,,
155368,138,863,0.1599073,,
192278,138,787,0.175349428,,
193595,138,901,0.153163152,,
232334,138,884,0.156108597,,
333664,138,815,0.169325153,,
375978,138,758,0.182058047,,
383425,138,759,0.181818182,,
396458,138,865,0.159537572,,
415413,138,876,0.157534247,,
424517,138,954,0.144654088,,
526693,138,787,0.175349428,,
598737,138,924,0.149350649,,
609152,138,764,0.180628272,,
611157,138,879,0.156996587,,
641786,138,888,0.155405405,,
664456,138,887,0.155580609,,
679260,138,783,0.176245211,,
685290,138,884,0.156108597,,
688821,138,1008,0.136904762,,
692575,138,806,0.171215881,,
794820,138,826,0.167070218,,
838745,138,837,0.164874552,,
925711,138,783,0.176245211,,
935192,138,832,0.165865385,,
946425,138,692,0.199421965,,
959837,138,764,0.180628272,,
997121,138,794,0.173803526,,
1216429,138,886,0.155756208,,
1248222,138,917,0.150490731,,
1277116,138,846,0.163120567,,
1282449,138,858,0.160839161,,
1298219,138,962,0.143451143,,
1303028,138,863,0.1599073,,
1310168,138,926,0.149028078,,
1336950,138,792,0.174242424,,
1343168,138,882,0.156462585,,
1374268,138,967,0.142709411,,
1399937,138,996,0.138554217,,
1408799,138,908,0.151982379,,
1429245,138,901,0.153163152,,
1480211,138,894,0.154362416,,
1491981,138,797,0.17314931,,
1501322,138,894,0.154362416,,
1511078,138,1008,0.136904762,,
1521563,138,871,0.158438576,,
64525,139,949,0.146469968,,
128682,139,860,0.161627907,,
131141,139,898,0.154788419,,
138846,139,799,0.173967459,,
161220,139,948,0.146624473,,
192247,139,832,0.167067308,,
193103,139,743,0.187079408,,
199455,139,971,0.14315139,,
221471,139,930,0.149462366,,
275562,139,909,0.152915292,,
346531,139,838,0.165871122,,
386523,139,809,0.171817058,,
420492,139,747,0.186077644,,
444518,139,1003,0.138584247,,
580011,139,942,0.147558386,,
640973,139,935,0.148663102,,
660979,139,783,0.17752235,,
680123,139,732,0.18989071,,
685531,139,901,0.15427303,,
701674,139,1027,0.135345667,,
701739,139,909,0.152915292,,
715691,139,902,0.154101996,,
744966,139,925,0.15027027,,
747674,139,764,0.181937173,,
773845,139,890,0.156179775,,
776627,139,878,0.158314351,,
785881,139,903,0.15393134,,
786028,139,862,0.1612529,,
787649,139,780,0.178205128,,
855179,139,862,0.1612529,,
913904,139,960,0.144791667,,
938591,139,888,0.156531532,,
1006085,139,867,0.160322953,,
1149762,139,877,0.158494869,,
1264265,139,782,0.177749361,,
1264886,139,938,0.148187633,,
1265351,139,906,0.153421634,,
1272164,139,811,0.171393342,,
1291654,139,948,0.146624473,,
1314547,139,714,0.194677871,,
1315908,139,827,0.168077388,,
1330559,139,985,0.141116751,,
1358780,139,880,0.157954545,,
1419258,139,816,0.170343137,,
1449611,139,882,0.157596372,,
1480271,139,897,0.154960981,,
1488306,139,901,0.15427303,,
1490862,139,787,0.176620076,,
1515083,139,898,0.154788419,,
1519429,139,874,0.159038902,,
1521557,139,890,0.156179775,,
18954,140,945,0.148148148,,
67805,140,869,0.161104718,,
69990,140,879,0.1592719,,
78264,140,989,0.141557128,,
83045,140,970,0.144329897,,
101602,140,1020,0.137254902,,
116227,140,732,0.191256831,,
123739,140,850,0.164705882,,
137766,140,941,0.148777896,,
150382,140,655,0.213740458,,
161244,140,897,0.156075808,,
214965,140,877,0.15963512,,
228436,140,869,0.161104718,,
234968,140,859,0.16298021,,
236928,140,949,0.147523709,,
240090,140,810,0.172839506,,
246743,140,867,0.161476355,,
258190,140,880,0.159090909,,
343448,140,843,0.166073547,,
346843,140,951,0.14721346,,
385243,140,729,0.192043896,,
385363,140,862,0.162412993,,
398408,140,955,0.146596859,,
400823,140,959,0.145985401,,
424905,140,864,0.162037037,,
437637,140,951,0.14721346,,
441738,140,733,0.190995907,,
503249,140,870,0.16091954,,
509186,140,844,0.165876777,,
553204,140,964,0.145228216,,
572492,140,1032,0.135658915,,
572610,140,837,0.167264038,,
620108,140,889,0.157480315,,
634158,140,797,0.17565872,,
664477,140,924,0.151515152,,
671460,140,815,0.171779141,,
686871,140,932,0.150214592,,
690212,140,854,0.163934426,,
697096,140,854,0.163934426,,
697759,140,899,0.155728587,,
714933,140,1088,0.128676471,,
729422,140,753,0.185922975,,
752085,140,866,0.161662818,,
844655,140,743,0.188425303,,
845739,140,993,0.140986908,,
846900,140,939,0.149094782,,
951669,140,918,0.152505447,,
965755,140,948,0.147679325,,
1065887,140,808,0.173267327,,
1146279,140,785,0.178343949,,
1255345,140,899,0.155728587,,
1290044,140,812,0.172413793,,
1305124,140,1016,0.137795276,,
1333527,140,843,0.166073547,,
1346089,140,804,0.174129353,,
1421975,140,915,0.153005464,,
1432790,140,693,0.202020202,,
1442725,140,879,0.1592719,,
1443138,140,805,0.173913043,,
1452825,140,957,0.146290491,,
1458636,140,897,0.156075808,,
1460919,140,818,0.171149144,,
1461591,140,768,0.182291667,,
1501368,140,808,0.173267327,,
1524458,140,753,0.185922975,,
49108,141,667,0.211394303,,
49687,141,908,0.155286344,,
49881,141,824,0.171116505,,
66957,141,872,0.161697248,,
67780,141,888,0.158783784,,
75655,141,965,0.14611399,,
81855,141,1057,0.133396405,,
84632,141,912,0.154605263,,
85505,141,901,0.156492786,,
88422,141,813,0.173431734,,
91537,141,865,0.16300578,,
92275,141,830,0.169879518,,
97315,141,892,0.158071749,,
153283,141,946,0.149048626,,
186712,141,943,0.1495228,,
193567,141,889,0.158605174,,
213698,141,735,0.191836735,,
213950,141,922,0.152928416,,
231525,141,837,0.168458781,,
232333,141,881,0.160045403,,
232936,141,835,0.168862275,,
249627,141,800,0.17625,,
260512,141,880,0.160227273,,
262975,141,702,0.200854701,,
264290,141,1086,0.129834254,,
282787,141,805,0.17515528,,
292611,141,1016,0.138779528,,
343292,141,828,0.170289855,,
346477,141,828,0.170289855,,
354052,141,912,0.154605263,,
358755,141,827,0.170495768,,
359069,141,908,0.155286344,,
362993,141,721,0.19556172,,
445249,141,703,0.20056899,,
482181,141,813,0.173431734,,
485723,141,733,0.192360164,,
499648,141,948,0.148734177,,
505444,141,945,0.149206349,,
509730,141,807,0.17472119,,
553433,141,1044,0.135057471,,
570168,141,924,0.152597403,,
578841,141,893,0.157894737,,
586742,141,786,0.179389313,,
602876,141,864,0.163194444,,
634140,141,843,0.167259786,,
671508,141,813,0.173431734,,
674321,141,885,0.159322034,,
683890,141,891,0.158249158,,
684395,141,906,0.155629139,,
710829,141,936,0.150641026,,
739953,141,735,0.191836735,,
778864,141,920,0.15326087,,
785665,141,953,0.14795383,,
787523,141,898,0.15701559,,
822194,141,1002,0.140718563,,
913905,141,945,0.149206349,,
922174,141,954,0.147798742,,
966952,141,837,0.168458781,,
980428,141,851,0.165687427,,
1040939,141,885,0.159322034,,
1150562,141,1013,0.139190523,,
1188878,141,766,0.184073107,,
1253694,141,786,0.179389313,,
1306792,141,924,0.152597403,,
1312729,141,951,0.148264984,,
1343249,141,897,0.157190635,,
1416431,141,872,0.161697248,,
1421618,141,782,0.180306905,,
1450588,141,863,0.163383546,,
1451042,141,947,0.148891235,,
1451129,141,850,0.165882353,,
1451955,141,808,0.17450495,,
1453212,141,1096,0.128649635,,
1455507,141,806,0.174937965,,
1459800,141,851,0.165687427,,
1462526,141,831,0.16967509,,
1463897,141,795,0.177358491,,
1466338,141,934,0.150963597,,
1467392,141,957,0.147335423,,
1493088,141,780,0.180769231,,
1493685,141,708,0.199152542,,
1503303,141,898,0.15701559,,
1521256,141,844,0.167061611,,
1522501,141,885,0.159322034,,
19638,142,938,0.151385928,,
21759,142,843,0.168446026,,
48241,142,768,0.184895833,,
59561,142,896,0.158482143,,
79687,142,766,0.18537859,,
80379,142,962,0.147609148,,
89546,142,811,0.175092478,,
101723,142,1064,0.133458647,,
102601,142,904,0.157079646,,
113998,142,802,0.177057357,,
128772,142,778,0.18251928,,
142799,142,937,0.151547492,,
153625,142,915,0.155191257,,
155661,142,868,0.16359447,,
202591,142,992,0.143145161,,
223377,142,912,0.155701754,,
253830,142,1017,0.139626352,,
260003,142,792,0.179292929,,
291582,142,899,0.157953281,,
293647,142,838,0.169451074,,
334894,142,858,0.165501166,,
388049,142,838,0.169451074,,
389012,142,1003,0.141575274,,
400197,142,872,0.162844037,,
410352,142,821,0.172959805,,
410359,142,805,0.176397516,,
412388,142,862,0.164733179,,
416927,142,798,0.177944862,,
446850,142,897,0.158305463,,
498305,142,873,0.162657503,,
505504,142,937,0.151547492,,
604787,142,885,0.160451977,,
608921,142,961,0.147762747,,
633960,142,844,0.168246445,,
672752,142,720,0.197222222,,
688432,142,773,0.183699871,,
709011,142,884,0.160633484,,
710371,142,799,0.177722153,,
765892,142,790,0.179746835,,
806486,142,849,0.167255595,,
818791,142,1010,0.140594059,,
827881,142,929,0.15285253,,
840697,142,879,0.161547213,,
858952,142,1031,0.137730359,,
893039,142,903,0.157253599,,
895044,142,753,0.188579017,,
929473,142,831,0.17087846,,
932205,142,812,0.174876847,,
941879,142,785,0.18089172,,
1046726,142,902,0.157427938,,
1047131,142,759,0.187088274,,
1149761,142,881,0.161180477,,
1248193,142,922,0.154013015,,
1257343,142,863,0.164542294,,
1302530,142,837,0.169653524,,
1302751,142,1168,0.121575342,,
1312505,142,689,0.206095791,,
1316079,142,753,0.188579017,,
1320636,142,883,0.160815402,,
1333497,142,817,0.17380661,,
1333718,142,813,0.174661747,,
1369850,142,1007,0.14101291,,
1371972,142,870,0.163218391,,
1399621,142,889,0.159730034,,
1406984,142,1084,0.13099631,,
1416353,142,1011,0.140454995,,
1419261,142,827,0.171704958,,
1423668,142,891,0.159371493,,
1424978,142,1029,0.137998056,,
1425718,142,834,0.170263789,,
1443134,142,863,0.164542294,,
1448483,142,906,0.156732892,,
1452762,142,961,0.147762747,,
1461557,142,833,0.170468187,,
1464424,142,1129,0.125775022,,
1473838,142,831,0.17087846,,
1487875,142,852,0.166666667,,
1491605,142,1025,0.138536585,,
1493527,142,873,0.162657503,,
1517758,142,1055,0.134597156,,
1518269,142,901,0.157602664,,
1524506,142,707,0.200848656,,
21476,143,929,0.153928956,,
26679,143,1033,0.138431752,,
27210,143,1024,0.139648438,,
43389,143,915,0.156284153,,
49679,143,893,0.160134378,,
80858,143,1017,0.140609636,,
92293,143,793,0.180327869,,
97326,143,909,0.157315732,,
105592,143,842,0.169833729,,
114468,143,1190,0.120168067,,
188150,143,931,0.153598281,,
211301,143,814,0.175675676,,
211612,143,770,0.185714286,,
271119,143,881,0.162315551,,
284171,143,758,0.188654354,,
288549,143,766,0.186684073,,
298099,143,1002,0.142714571,,
334888,143,850,0.168235294,,
371263,143,896,0.159598214,,
392020,143,780,0.183333333,,
409687,143,893,0.160134378,,
552048,143,770,0.185714286,,
559236,143,762,0.187664042,,
586838,143,916,0.156113537,,
592072,143,890,0.160674157,,
662769,143,1034,0.138297872,,
698668,143,814,0.175675676,,
713505,143,978,0.146216769,,
722672,143,809,0.176761434,,
726762,143,1040,0.1375,,
727626,143,861,0.166085947,,
749837,143,974,0.146817248,,
773893,143,886,0.161399549,,
779966,143,909,0.157315732,,
787254,143,919,0.155603917,,
790957,143,737,0.194029851,,
828290,143,960,0.148958333,,
833668,143,1001,0.142857143,,
835976,143,762,0.187664042,,
855890,143,847,0.168831169,,
868348,143,786,0.181933842,,
884340,143,875,0.163428571,,
942748,143,896,0.159598214,,
