POS,freq,psl5,psl2,psl5/psl2,inconclusive
163869,1443,677,720,46,0
163896,1517,755,720,42,0
163902,1509,743,717,49,0
163967,1548,794,717,37,0
164089,1580,819,717,44,0
164238,1587,777,769,41,0
164281,1489,737,706,46,0
164439,1409,734,641,34,0
164580,1449,724,679,46,0
165341,1395,684,671,40,0
165975,1688,787,851,50,0
167354,1742,910,789,43,0
167859,1360,667,644,49,0
168238,1954,925,975,54,0
168256,1961,937,966,58,0
168570,1639,825,759,55,0
170914,1306,680,602,24,0
171223,1272,675,572,25,0
171294,1182,609,546,27,0
171817,1452,774,636,42,0
172151,1390,707,655,28,0
172218,1388,718,637,33,0
172966,1361,710,623,28,0
173380,1454,717,707,30,0
173416,1406,677,698,31,0
173461,1373,648,694,31,0
174089,1226,603,588,35,0
174272,1435,725,674,36,0
174546,1513,766,699,48,0
174862,1697,869,772,56,0
175676,1403,728,639,36,0
180309,1603,857,709,37,0
183466,1679,852,765,62,0
183720,1502,747,711,44,0
183756,1571,817,703,51,0
183912,1639,796,794,49,0
183975,1466,724,699,43,0
184169,1153,601,520,32,0
184697,1525,771,718,36,0
184727,1540,774,736,30,0
184738,1526,761,727,38,0
184859,1288,645,609,34,0
184860,1292,658,608,26,0
184893,1303,700,570,33,0
184999,1211,671,504,36,0
185023,1238,659,543,36,0
185188,1323,721,566,36,0
185228,1440,761,647,32,0
185243,1430,741,653,36,0
185251,1477,770,666,41,0
185256,1458,766,649,43,0
185449,1304,692,573,39,0
185452,1294,668,591,35,0
185458,1249,676,540,33,0
185497,1279,689,569,21,0
185528,1443,731,685,27,0
185548,1443,733,673,37,0
185567,1471,765,670,36,0
185597,1948,999,897,52,0
185668,2207,1086,1074,47,0
185683,2274,1113,1108,53,0
185704,2328,1139,1120,69,0
185783,1347,680,625,42,0
185908,1442,720,691,31,0
186587,1195,579,586,30,0
186712,1252,611,611,30,0
186796,1282,589,646,47,0
187060,1181,581,578,22,0
187198,1290,649,618,23,0
187293,1517,751,730,36,0
187696,1442,681,723,38,0
188107,1347,672,636,39,0
188150,1295,646,626,23,0
188307,1545,755,741,49,0
188469,1329,589,705,35,0
189246,1168,539,605,24,0
189502,1263,642,584,37,0
190035,1522,685,793,44,0
190267,1749,813,884,52,0
190497,1650,700,906,44,0
190604,1761,834,869,58,0
190672,1793,851,882,60,0
190749,1752,780,925,47,0
190862,1634,782,813,39,0
190888,1678,810,827,41,0
190901,1692,826,832,34,0
191044,1515,762,709,44,0
192018,1474,705,720,49,0
192247,1441,694,706,41,0
192278,1398,698,668,32,0
192319,1269,598,646,25,0
192855,1210,570,611,29,0
193103,1357,660,669,28,0
193107,1332,634,664,34,0
193178,1304,661,621,22,0
193214,1294,657,607,30,0
193364,1403,669,702,32,0
193567,1294,649,611,34,0
193568,1307,672,596,39,0
193583,1280,607,652,21,0
193595,1287,628,630,29,0
193763,1372,690,643,39,0
194189,1294,602,659,33,0
194236,1328,628,668,32,0
194317,1476,710,719,47,0
194393,1419,736,653,30,0
194544,1567,754,761,52,0
195095,1469,753,686,30,0
195098,1471,752,692,27,0
195463,1220,574,611,35,0
195647,1219,594,593,32,0
195894,1371,680,653,38,0
195909,1289,603,659,27,0
195920,1391,707,653,31,0
196014,1428,721,661,46,0
196443,1443,700,708,35,0
196482,1451,663,751,37,0
196806,1594,741,795,58,0
197574,1071,523,523,25,0
197883,1492,686,760,46,0
198685,1518,688,772,58,0
198778,1210,596,575,39,0
198878,1260,614,610,36,0
199316,1352,645,672,35,0
199455,1336,652,645,39,0
199738,1361,649,672,40,0
200151,1094,524,544,26,0
200193,1039,513,506,20,0
200331,1498,847,604,47,0
200337,1472,811,612,49,0
200994,1505,697,766,42,0
201039,1450,685,729,36,0
202117,1210,543,639,28,0
202127,1187,521,640,26,0
202229,1355,620,692,43,0
202448,1283,621,633,29,0
202579,1224,578,623,23,0
202591,1286,604,658,24,0
202790,1544,733,763,48,0
202902,1513,758,715,40,0
203446,1073,538,498,37,0
203647,1089,519,545,25,0
203795,1409,687,678,44,0
204077,1363,668,660,35,0
204271,1486,722,717,47,0
204319,1517,739,728,50,0
204322,1557,743,766,48,0
204349,1604,744,806,54,0
204361,1609,744,816,49,0
204469,1334,700,606,28,0
204557,1247,612,610,25,0
204805,1220,547,636,37,0
205310,1654,763,840,51,0
205528,1568,795,713,60,0
205765,1430,673,715,42,0
205771,1502,760,690,52,0
205915,1410,664,697,49,0
208984,1317,628,642,47,0
209791,1329,659,636,34,0
210091,1860,880,900,80,0
210594,1413,657,724,32,0
210686,1099,600,473,26,0
210833,1443,707,694,42,0
211091,1475,669,763,43,0
211126,1532,699,782,51,0
211275,1421,655,730,36,0
211301,1301,586,682,33,0
211370,1503,670,793,40,0
211536,1353,664,657,32,0
211612,1385,646,696,43,0
211684,1412,682,700,30,0
211831,1396,719,631,46,0
211876,1432,705,678,49,0
211933,1487,729,707,51,0
211978,1440,668,728,44,0
212036,1447,666,744,37,0
212222,1468,690,731,47,0
212251,1615,762,808,45,0
212267,1620,769,799,52,0
212303,1698,806,840,52,0
212370,1450,709,698,43,0
212428,986,417,540,29,0
212460,677,188,473,16,0
212479,749,246,484,19,0
212482,865,273,572,20,0
212488,1097,433,631,33,0
212616,1806,777,944,85,0
212681,1678,729,884,65,0
212682,1640,695,887,58,0
213112,1687,797,837,53,0
213169,1569,734,800,35,0
213439,1459,728,698,33,0
213530,1361,654,674,33,0
213539,1348,666,650,32,0
213698,1365,675,646,44,0
213950,1390,666,682,42,0
214436,1406,625,737,44,0
214658,1320,613,659,48,0
214858,1222,575,614,33,0
214965,1307,623,649,35,0
215003,1332,609,670,53,0
215004,1358,627,686,45,0
215138,1336,597,696,43,0
215266,1178,563,579,36,0
215523,1430,698,693,39,0
215967,1379,686,657,36,0
216140,1447,716,696,35,0
216293,1346,634,669,43,0
216405,1388,644,707,37,0
216465,1424,683,699,42,0
217109,1408,685,687,36,0
217342,1619,826,756,37,0
217351,1616,820,755,41,0
217387,1532,682,809,41,0
217447,1653,822,779,52,0
217557,1675,881,768,26,0
217691,1429,739,645,45,0
217696,1356,714,604,38,0
217732,1315,665,607,43,0
217745,1336,675,611,50,0
217775,1340,682,622,36,0
217904,1291,632,627,32,0
217905,1273,587,653,33,0
217975,1161,567,564,30,0
218010,1084,530,528,26,0
218065,1063,508,528,27,0
218512,1312,632,641,39,0
218572,1288,569,676,43,0
218669,1427,656,734,37,0
218767,1393,712,635,46,0
218923,1609,766,795,48,0
219175,1491,672,772,47,0
219303,1377,630,700,47,0
219340,1368,633,691,44,0
220373,1127,419,678,30,0
220385,1181,475,676,30,0
220433,1123,443,650,30,0
220445,1137,440,662,35,0
220463,1157,454,666,37,0
221090,1564,769,745,50,0
221175,1640,807,778,55,0
221471,1261,625,606,30,0
221504,1300,612,654,34,0
221511,1227,587,607,33,0
221893,1244,562,650,32,0
221899,1239,574,639,26,0
221995,1302,572,702,28,0
222025,1402,651,719,32,0
222073,1424,675,708,41,0
222082,1411,669,699,43,0
222257,1616,760,812,44,0
222481,1629,774,808,47,0
222741,1468,721,694,53,0
223242,1268,620,612,36,0
223377,1317,623,665,29,0
223943,1538,724,769,45,0
224112,1460,645,778,37,0
224747,1462,693,725,44,0
224809,1403,664,708,31,0
224854,1307,635,635,37,0
225018,1367,643,694,30,0
225248,1218,562,626,30,0
225458,1756,823,891,42,0
226059,1377,643,693,41,0
226148,1442,667,744,31,0
226209,1411,689,693,29,0
226314,1217,560,622,35,0
227035,1557,747,762,48,0
227115,1413,648,721,44,0
227127,1078,678,390,10,0
227133,1432,588,791,53,0
227138,1364,555,761,48,0
227141,1351,527,775,49,0
227151,1400,605,743,52,0
227285,1452,656,753,43,0
227289,1435,650,741,44,0
227299,1467,662,758,47,0
227300,1465,651,769,45,0
227375,1543,688,811,44,0
227641,1238,578,635,25,0
228112,1061,497,535,29,0
228430,1307,645,633,29,0
228436,1312,692,587,33,0
228508,1401,701,653,47,0
228893,1589,783,769,37,0
229033,1220,610,579,31,0
229042,1287,626,626,35,0
229260,1281,631,614,36,0
229467,1463,705,716,42,0
229690,1702,793,862,47,0
229702,1656,780,840,36,0
229828,1636,763,825,48,0
229843,1687,776,867,44,0
229868,1646,744,858,44,0
230153,1177,551,596,30,0
230620,1637,788,780,69,0
230677,1607,777,780,50,0
230893,1449,668,741,40,0
231260,1454,748,665,41,0
231317,1428,733,643,52,0
231400,1543,816,687,40,0
231525,1352,693,623,36,0
231562,1326,650,636,40,0
231629,1170,560,575,35,0
231806,1149,537,587,25,0
231960,1344,630,679,35,0
232127,1381,661,696,24,0
232181,1314,637,650,27,0
232245,1297,635,634,28,0
232302,1274,600,655,19,0
232333,1287,596,648,43,0
232334,1278,606,642,30,0
232386,1366,654,683,29,0
232689,1731,846,838,47,0
232777,1542,778,725,39,0
232783,1521,754,717,50,0
232831,1607,800,760,47,0
232936,1365,657,670,38,0
232994,1389,649,689,51,0
233071,1333,646,648,39,0
233134,1184,576,570,38,0
233173,1161,567,563,31,0
233198,1156,571,546,39,0
233551,1237,592,610,35,0
233636,1310,634,648,28,0
233915,1159,560,569,30,0
234097,1675,811,822,42,0
234231,1746,862,853,31,0
234289,1828,896,886,46,0
234361,1835,887,892,56,0
234547,1585,769,774,42,0
234968,1357,629,694,34,0
235466,1162,575,550,37,0
235604,1377,658,670,49,0
235676,1342,650,653,39,0
235902,2379,1083,1230,66,0
236074,1858,888,923,47,0
236080,1752,791,917,44,0
236082,1730,768,927,35,0
236289,1661,833,779,49,0
236604,1539,734,766,39,0
236610,1555,794,718,43,0
236619,1559,790,727,42,0
236627,1523,715,764,44,0
236928,1359,693,634,32,0
237186,1421,688,683,50,0
237219,1546,741,758,47,0
237312,1594,743,788,63,0
237441,1379,663,679,37,0
237522,1453,708,700,45,0
237570,1454,696,715,43,0
237588,1422,726,652,44,0
237897,1169,588,548,33,0
238826,1435,670,725,40,0
239643,1410,672,706,32,0
239899,1376,635,694,47,0
239907,1365,605,720,40,0
239984,1280,574,661,45,0
240060,1252,607,612,33,0
240090,1285,615,635,35,0
240232,1576,718,804,54,0
240375,1774,820,873,81,0
240480,1731,838,831,62,0
240564,1394,703,649,42,0
240647,1252,649,573,30,0
240868,1244,599,615,30,0
241166,1422,672,702,48,0
241202,1432,686,706,40,0
241206,1456,698,728,30,0
242001,1639,787,799,53,0
242139,1495,712,753,30,0
242179,1535,747,754,34,0
242744,1593,757,794,42,0
242997,1425,663,715,47,0
244138,1477,738,696,43,0
244279,1542,743,751,48,0
246448,1546,745,750,51,0
246743,1260,631,593,36,0
246965,1384,635,703,46,0
248088,1552,721,794,37,0
248513,1470,712,729,29,0
248899,1272,576,660,36,0
249264,1307,620,643,44,0
249432,1493,725,731,37,0
249508,1513,740,739,34,0
249541,1479,724,723,32,0
249579,1423,653,721,49,0
249627,1376,625,711,40,0
249679,1324,606,671,47,0
249699,1275,571,664,40,0
250434,1149,510,610,29,0
250440,1202,574,601,27,0
250548,1227,584,608,35,0
250746,1229,590,597,42,0
251017,1288,644,608,36,0
251082,1240,580,620,40,0
251097,1186,527,614,45,0
251115,1175,539,597,39,0
251534,1539,692,810,37,0
251630,1515,715,762,38,0
251673,1519,707,772,40,0
252063,1369,619,710,40,0
252202,1342,596,704,42,0
252231,1237,611,596,30,0
252312,1235,571,625,39,0
252376,1346,642,670,34,0
252749,1155,549,585,21,0
252925,1188,541,620,27,0
253388,1394,582,777,35,0
253390,1450,677,736,37,0
253602,1481,699,739,43,0
253830,1384,657,692,35,0
253832,1380,657,694,29,0
253859,1425,693,702,30,0
254130,1559,736,776,47,0
254813,1439,624,754,61,0
254856,1433,690,701,42,0
255055,1755,777,941,37,0
255364,1470,723,704,43,0
255481,1524,770,716,38,0
256213,1378,669,667,42,0
256576,1310,600,683,27,0
257200,1236,584,619,33,0
257223,1253,575,636,42,0
257501,1200,649,528,23,0
257569,1181,602,554,25,0
257584,1168,576,560,32,0
257586,1174,576,567,31,0
257704,1238,582,621,35,0
257974,1420,708,687,25,0
258190,1366,690,633,43,0
258250,1425,714,658,53,0
258286,1389,697,648,44,0
258728,1596,751,799,46,0
259049,1523,744,737,42,0
259484,1310,622,667,21,0
259676,1387,690,672,25,0
259707,1388,683,673,32,0
259889,1563,742,770,51,0
259996,1256,580,637,39,0
260003,1326,636,656,34,0
260036,1311,613,659,39,0
260180,1256,617,608,31,0
260512,1416,713,663,40,0
260778,1344,639,658,47,0
260870,1361,652,669,40,0
261099,1505,764,697,44,0
261140,1637,792,784,61,0
261167,1835,902,869,64,0
261181,1859,881,919,59,0
261197,1888,891,933,64,0
261207,1872,923,888,61,0
261458,1381,678,661,42,0
261620,1349,710,607,32,0
261627,1369,721,610,38,0
261828,1386,677,652,57,0
262660,1186,587,563,36,0
262662,1219,547,630,42,0
262793,1439,709,695,35,0
262975,1355,669,643,43,0
263044,1217,588,596,33,0
263532,1329,665,616,48,0
263773,1255,632,592,31,0
264134,1417,679,706,32,0
264197,1408,656,712,40,0
264290,1306,604,673,29,0
264370,1526,749,750,27,0
265445,1299,633,633,33,0
265452,1230,631,560,39,0
265606,1212,538,641,33,0
265841,1257,622,604,31,0
266053,1186,573,582,31,0
266248,1355,627,683,45,0
266302,1323,646,647,30,0
266398,1378,662,668,48,0
266407,1361,661,658,42,0
266671,1460,715,704,41,0
266733,1476,745,691,40,0
266739,1487,748,705,34,0
266824,1436,689,705,42,0
266920,1471,721,710,40,0
267063,1287,628,625,34,0
267359,1381,682,672,27,0
267372,1391,685,678,28,0
267422,1297,621,643,33,0
268132,1368,688,645,35,0
268432,1254,617,598,39,0
268701,1501,737,710,54,0
268714,1507,758,705,44,0
268735,1461,724,691,46,0
268919,1189,572,588,29,0
269089,1456,723,699,34,0
269283,1521,727,750,44,0
269350,1605,777,777,51,0
269406,1610,794,771,45,0
269602,1308,660,614,34,0
269772,1583,782,766,35,0
269891,1392,686,654,52,0
269895,1426,692,682,52,0
269898,1423,699,681,43,0
270080,1389,674,677,38,0
270285,1404,681,693,30,0
270349,1358,691,628,39,0
270951,1382,666,673,43,0
271119,1331,681,610,40,0
271340,1461,671,751,39,0
271431,1486,713,726,47,0
271505,1535,745,743,47,0
271629,1520,732,739,49,0
271671,1414,718,646,50,0
272291,1719,839,835,45,0
272385,1778,906,803,69,0
272421,1704,860,779,65,0
272848,1475,736,700,39,0
272994,1527,750,744,33,0
273139,1490,755,697,38,0
273171,1475,713,715,47,0
273273,1321,627,661,33,0
273339,1289,611,643,35,0
273764,1295,623,641,31,0
273848,1307,650,625,32,0
274589,1710,892,759,59,0
274595,1825,892,875,58,0
274672,1967,964,934,69,0
274809,1507,718,732,57,0
274930,1639,809,797,33,0
275180,1505,748,714,43,0
275205,1450,739,674,37,0
275289,1334,665,629,40,0
275448,1352,679,635,38,0
275562,1312,698,583,31,0
275715,1449,722,692,35,0
275730,1407,698,672,37,0
275748,1436,713,684,39,0
276015,1046,506,507,33,0
276204,1189,579,576,34,0
276293,1139,537,571,31,0
276375,1317,667,611,39,0
277137,1363,689,624,50,0
277276,1381,705,645,31,0
277603,1372,669,660,43,0
277642,1329,637,650,42,0
278164,1397,718,649,30,0
278671,1356,675,646,35,0
278692,1356,648,671,37,0
278914,1739,828,861,50,0
279031,1533,678,797,58,0
279037,1501,649,807,45,0
279796,1537,732,760,45,0
280191,1577,756,758,63,0
280295,1435,694,681,60,0
280298,1404,674,668,62,0
280697,1575,727,804,44,0
280802,1976,952,964,60,0
280844,2011,988,961,62,0
280847,2009,988,964,57,0
280976,1468,753,671,44,0
281045,1545,792,705,48,0
281207,1702,837,827,38,0
281210,1683,832,806,45,0
281213,1659,789,827,43,0
281306,1370,654,677,39,0
281327,1354,634,684,36,0
281351,1385,655,687,43,0
281392,1430,671,711,48,0
281474,1403,652,694,57,0
281804,1560,752,763,45,0
281966,1359,638,695,26,0
282024,1342,618,687,37,0
282129,1268,648,598,22,0
282145,1283,640,621,22,0
282787,1289,640,614,35,0
283730,1335,670,629,36,0
283794,1519,731,743,45,0
283896,1399,727,626,46,0
284003,1463,731,687,45,0
284171,1315,616,653,46,0
285051,1603,750,806,47,0
285187,1505,731,728,46,0
285236,1560,749,764,47,0
285457,1655,809,801,45,0
285472,1647,792,803,52,0
285505,1649,806,801,42,0
285900,1570,769,768,33,0
285994,1481,726,711,44,0
286222,1357,626,675,56,0
286258,1516,703,766,47,0
286354,1643,794,797,52,0
286360,1630,795,783,52,0
287170,1364,661,660,43,0
287313,1355,682,634,39,0
287679,1233,567,639,27,0
288063,1194,614,549,31,0
288140,1279,665,584,30,0
288429,1427,655,732,40,0
288549,1299,608,661,30,0
288597,1236,572,632,32,0
288760,1377,697,636,44,0
288819,1564,804,706,54,0
288918,1600,770,776,54,0
288945,1611,823,745,43,0
288975,1517,767,723,27,0
289365,1292,666,595,31,0
289404,1286,642,615,29,0
289439,1356,659,646,51,0
289698,1639,809,782,48,0
289849,1707,866,790,51,0
290079,1687,844,780,63,0
290145,1711,834,832,45,0
290367,1445,719,686,40,0
290715,1699,839,816,44,0
291018,1342,655,647,40,0
291309,1423,693,683,47,0
291351,1468,702,723,43,0
291369,1411,682,679,50,0
291387,1404,697,658,49,0
291582,1431,704,697,30,0
291726,1463,699,728,36,0
291748,1425,678,718,29,0
291765,1379,676,670,33,0
292017,1454,733,690,31,0
292188,1310,640,639,31,0
292428,1515,764,708,43,0
292500,1537,726,773,38,0
292517,1531,723,769,39,0
292555,1512,723,749,40,0
292574,1430,665,724,41,0
292597,1484,667,782,35,0
292605,1490,676,786,28,0
292611,1426,659,738,29,0
292691,1511,734,734,43,0
292701,1590,788,758,44,0
292751,1605,757,790,58,0
292776,1638,802,779,57,0
292802,1605,807,748,50,0
292898,1530,748,735,47,0
293191,1974,959,949,66,0
293617,1318,677,609,32,0
293647,1349,681,638,30,0
294427,1376,712,630,34,0
294478,1461,693,728,40,0
294790,1466,650,773,43,0
295157,1404,735,630,39,0
295338,1440,726,672,42,0
295469,1310,606,660,44,0
295928,1621,781,780,60,0
296009,1306,632,642,32,0
296063,1255,586,628,41,0
296083,1270,600,625,45,0
296527,1544,765,742,37,0
296567,1415,739,644,32,0
296793,1462,728,695,39,0
296817,1496,704,753,39,0
297184,1302,648,629,25,0
297290,1366,691,646,29,0
297499,1378,653,685,40,0
297971,1376,709,625,42,0
297975,1372,709,628,35,0
298091,1281,575,676,30,0
298099,1357,675,652,30,0
298148,1268,613,628,27,0
298304,1657,832,781,44,0
298579,1617,777,772,68,0
298871,1649,810,773,66,0
299200,1440,700,695,45,0
299385,1378,704,648,26,0
299792,1386,683,664,39,0
300204,1582,795,731,56,0
300254,1659,831,784,44,0
300487,1777,941,781,55,0
300521,1701,879,759,63,0
300736,1204,568,598,38,0
301033,1578,782,753,43,0
301246,1271,599,632,40,0
301333,1517,706,770,41,0
301434,1430,746,639,45,0
301476,1293,722,537,34,0
301610,1229,605,599,25,0
302207,1468,721,715,32,0
302250,1524,757,731,36,0
302259,1529,755,742,32,0
302416,1231,637,545,49,0
302423,1231,608,576,47,0
303051,1666,831,779,56,0
305680,1286,661,575,50,0
307571,1535,719,768,48,0
307685,1702,831,819,52,0
307984,1327,603,682,42,0
308096,1415,702,660,53,0
308170,1399,680,676,43,0
308173,1398,642,718,38,0
308174,1421,662,711,48,0
308238,1605,765,810,30,0
308241,1577,750,797,30,0
308457,1491,722,734,35,0
308552,1380,667,675,38,0
308657,1690,895,739,56,0
308658,1700,906,742,52,0
308700,1736,951,730,55,0
308773,1623,879,695,49,0
308968,1127,561,545,21,0
309145,1398,661,692,45,0
309554,1167,573,571,23,0
309607,1090,499,573,18,0
309621,232,216,13,3,0
309622,239,222,12,5,0
309630,1073,502,551,20,0
309716,1179,552,592,35,0
310132,1594,822,720,52,0
310329,1309,704,572,33,0
310698,1302,646,612,44,0
311442,1465,699,724,42,0
311602,1501,685,747,69,0
312250,1411,714,666,31,0
312431,1474,758,686,30,0
312488,1399,660,691,48,0
313108,1437,658,729,50,0
314015,1539,733,744,62,0
317793,1238,634,567,37,0
320064,1657,836,774,47,0
321142,1516,783,694,39,0
325075,1783,841,889,53,0
325079,1818,894,870,54,0
325302,1243,608,594,41,0
326534,1373,671,671,31,0
327242,1328,656,630,42,0
327540,1294,691,569,34,0
328781,1644,813,780,51,0
328835,1578,781,742,55,0
328936,1483,723,716,44,0
328957,1428,692,689,47,0
328981,1416,674,694,48,0
329052,1333,670,634,29,0
329234,1634,817,751,66,0
329319,1628,831,744,53,0
329366,1468,659,757,52,0
329706,627,560,45,22,0
329729,1256,582,638,36,0
329738,1200,582,587,31,0
329786,85,77,7,1,0
329842,1461,680,742,39,0
330288,1580,791,747,42,0
330583,1483,701,745,37,0
330635,1577,722,808,47,0
330653,1590,736,814,40,0
330832,1434,740,654,40,0
330985,1502,775,676,51,0
331794,1140,595,512,33,0
331872,1209,600,571,38,0
331885,1269,629,611,29,0
331911,1278,621,620,37,0
332001,1397,702,653,42,0
332265,1182,581,570,31,0
332744,1229,599,589,41,0
332754,1218,592,592,34,0
332781,1141,550,563,28,0
333019,1539,748,748,43,0
333169,1469,683,734,52,0
333208,1393,664,697,32,0
333434,1474,702,718,54,0
333580,1453,717,695,41,0
333642,1272,590,647,35,0
333664,1339,625,673,41,0
333682,1297,594,660,43,0
333747,1333,611,681,41,0
333753,1304,592,675,37,0
333802,1695,809,837,49,0
333847,1688,828,825,35,0
334393,1263,650,580,33,0
334761,1139,566,539,34,0
334805,1137,586,525,26,0
334888,1368,691,639,38,0
334894,1385,674,675,36,0
335086,1339,679,620,40,0
335332,1228,602,592,34,0
335392,1182,593,553,36,0
335410,1238,622,579,37,0
335428,1295,643,603,49,0
335476,1430,703,679,48,0
335524,1466,738,691,37,0
335956,1520,754,720,46,0
336327,1406,695,666,45,0
336884,2008,951,984,73,0
336922,2020,982,969,69,0
336943,2028,1015,939,74,0
336966,2088,1029,985,74,0
337570,1501,745,697,59,0
337582,1465,739,681,45,0
337809,1151,579,546,26,0
338341,1418,699,684,35,0
338368,1369,675,659,35,0
338572,1410,686,681,43,0
338718,1336,679,627,30,0
338752,1293,672,586,35,0
339115,1126,579,522,25,0
339391,1113,593,492,28,0
339743,1294,667,593,34,0
339880,1384,735,615,34,0
339988,1510,747,723,40,0
340208,1503,729,729,45,0
340351,1231,634,566,31,0
340395,1138,591,524,23,0
340555,1400,711,644,45,0
340874,1531,752,741,38,0
340916,1420,682,696,42,0
340965,1450,701,702,47,0
341033,1517,722,751,44,0
341261,1656,827,782,47,0
341423,1486,768,688,30,0
341464,1611,867,707,37,0
341565,1719,854,810,55,0
341596,1708,843,821,44,0
341782,1367,640,679,48,0
341812,1329,619,665,45,0
341953,1507,748,718,41,0
341978,1544,768,728,48,0
343292,1235,583,606,46,0
343448,1375,701,635,39,0
343580,1400,657,701,42,0
343870,1636,776,813,47,0
344321,1588,692,853,43,0
344363,1584,704,831,49,0
344480,1343,673,628,42,0
344713,1277,603,635,39,0
344899,1454,665,736,53,0
345017,1670,788,821,61,0
345134,1774,865,866,43,0
345195,1609,773,789,47,0
345209,1543,753,737,53,0
345304,1608,801,749,58,0
345360,1585,815,727,43,0
345524,1565,729,796,40,0
345541,1497,692,769,36,0
345623,1516,704,763,49,0
345627,1499,709,746,44,0
345639,1530,716,767,47,0
345766,1503,706,755,42,0
345769,1505,727,733,45,0
346111,1498,722,732,44,0
346186,1602,759,793,50,0
346360,1373,655,672,46,0
346366,1376,673,657,46,0
346477,1400,723,645,32,0
346479,1387,718,633,36,0
346531,1368,670,672,26,0
346536,1354,566,730,58,0
346558,1405,640,727,38,0
346745,1335,627,668,40,0
346843,1347,681,635,31,0
347059,1416,692,692,32,0
347078,1405,687,691,27,0
347619,1244,615,605,24,0
347623,1239,608,601,30,0
347830,1425,652,733,40,0
347851,1510,753,718,39,0
347872,1413,679,690,44,0
347958,1385,700,642,43,0
348204,1516,750,739,27,0
348434,1374,667,669,38,0
348490,1258,640,593,25,0
348778,1499,679,781,39,0
349066,1425,715,659,51,0
349421,1424,688,698,38,0
350405,1547,720,771,56,0
350462,1534,735,750,49,0
350645,1447,664,731,52,0
350782,1564,712,780,72,0
350863,1658,786,812,60,0
351028,2137,956,1105,76,0
351097,1626,701,879,46,0
351207,1183,550,597,36,0
351214,1174,533,601,40,0
351685,1560,679,827,54,0
352433,1451,676,737,38,0
352540,1516,726,761,29,0
352682,1512,683,798,31,0
352697,1577,682,860,35,0
352817,2085,993,1041,51,0
352902,1740,805,891,44,0
352966,1622,759,797,66,0
353410,1032,504,495,33,0
353682,1236,574,618,44,0
354052,1351,623,692,36,0
354130,1448,708,697,43,0
354238,1498,701,750,47,0
354286,1439,683,729,27,0
354574,1455,686,721,48,0
354889,1453,694,727,32,0
354974,1543,712,767,64,0
356133,1247,589,625,33,0
356541,1359,621,704,34,0
356562,1304,588,684,32,0
356766,1427,669,720,38,0
356945,1390,600,751,39,0
356951,1498,696,757,45,0
356965,1482,719,728,35,0
357038,1714,789,878,47,0
357070,1640,776,821,43,0
357312,1402,695,670,37,0
357529,1381,647,700,34,0
357632,1518,718,763,37,0
357787,1472,692,729,51,0
357802,1480,713,722,45,0
358050,1657,746,856,55,0
358197,1675,777,847,51,0
358230,1589,715,824,50,0
358243,1546,662,835,49,0
358273,1360,630,689,41,0
358380,1624,743,831,50,0
358389,1646,751,842,53,0
358431,1622,744,828,50,0
358561,1710,774,873,63,0
358594,1621,688,872,61,0
358643,1543,677,821,45,0
358690,1470,703,728,39,0
358755,1429,661,731,37,0
358884,1378,625,727,26,0
358932,1426,655,731,40,0
358989,1425,656,728,41,0
359007,1437,687,711,39,0
359028,1357,602,713,42,0
359069,1364,637,691,36,0
360211,1402,653,703,46,0
361098,1603,827,729,47,0
361162,1568,805,722,41,0
361321,1599,722,820,57,0
361390,1488,689,761,38,0
361672,1518,703,785,30,0
361695,1536,707,782,47,0
361711,1583,743,801,39,0
361844,1555,696,807,52,0
361942,1462,653,769,40,0
362834,1719,798,868,53,0
362993,1321,611,665,45,0
363194,1255,564,652,39,0
363511,1452,657,739,56,0
363624,1530,680,808,42,0
364735,1327,672,627,28,0
364908,1388,636,711,41,0
364913,1412,649,725,38,0
365027,1368,635,691,42,0
366283,1358,682,632,44,0
366354,1691,697,937,57,0
366413,1715,744,913,58,0
366464,1436,727,665,44,0
366543,1710,819,833,58,0
366675,1606,711,849,46,0
366862,1469,691,734,44,0
367162,1425,695,693,37,0
367213,1306,630,637,39,0
367336,1329,609,678,42,0
367442,1537,733,757,47,0
367564,1446,663,745,38,0
367618,1431,671,731,29,0
368193,1449,684,730,35,0
368207,1604,658,889,57,0
368276,1701,682,969,50,0
368402,1834,839,927,68,0
368972,862,72,745,45,0
369194,1107,469,606,32,0
369451,1839,868,908,63,0
369534,1859,894,905,60,0
369971,1196,608,562,26,0
370499,1095,489,573,33,0
370783,1505,636,830,39,0
371085,1655,761,852,42,0
371204,1521,685,790,46,0
371249,1415,675,706,34,0
371263,1406,662,710,34,0
371461,1474,700,723,51,0
371854,1733,760,931,42,0
371914,1781,803,914,64,0
371916,1805,798,946,61,0
372011,1689,805,843,41,0
372053,1405,504,878,23,0
372060,1343,467,850,26,0
372075,1418,535,854,29,0
372084,1374,532,815,27,0
372212,1605,746,820,39,0
372358,1542,790,694,58,0
372385,1612,790,762,60,0
372390,1507,688,762,57,0
372433,1631,778,800,53,0
372674,1642,801,787,54,0
372821,1514,716,757,41,0
372855,1465,700,734,31,0
373089,1244,616,595,33,0
373723,1640,825,769,46,0
374501,1501,760,699,42,0
374541,1550,806,699,45,0
374546,1560,820,695,45,0
374633,1520,781,693,46,0
374879,1520,788,678,54,0
374903,1492,727,718,47,0
374909,1470,711,713,46,0
375032,1399,663,699,37,0
375083,1378,703,636,39,0
